,rec_id,nom_id,award_id,ah_id,link_id,award_private,product_id,title,message,award_date
3126,7089735,27146600,203932787,201120770,11236471.0,0,620,2025 Strategy Execution and 2026 Planning Heroes,"As we close out the 2026 planning cycle, I want to firstly thank you as leaders for your dedication to executing 2025 plan, intentionally building and shifting your practice maturities despite demanding business as usual delivery.    Secondly, thank you for your effort and thought over the last 2 weeks to reflect on this past year, prepare for 2026. Your commitment and partnership in this process have created momentum and change that can be seen in the business outcomes you deliver.",2025-10-06
3137,5460545,11120885,204029600,201110904,,0,620,Strength in Change,"Jill, I just want to say how much I appreciate you. You’ve really shown up for your team and led with such strength and empathy through all the change happening around us. It’s clear how thoughtfully you balance the big-picture strategy with genuine care for the people involved. I know how much you’ve had to juggle recently, and I’ve been so impressed by how you’ve kept everything (and everyone) moving forward. You’re a steady, inspiring force—thank you for that.",2025-10-06
3142,5460545,28433652,204129218,201110864,11252002.0,0,620,Our ideas go big (41x17 ft),"The Davos billboard creative is solidified, and now in the hands of fate. This collective of bright brand minds was instrumental in helping mold the message we’re putting in front of thousands at the World Economic Forum. In order to arrive on like 15 words, we had to consider all the words (gasp), and I’m grateful Jill assembled this A-list crew to help get us there. Getting exposure to your unique POVs was hugely insightful for me, learnings I'll carry beyond this project.  Thanks again for the brain buffet.",2025-10-06
3497,7089735,20955821,203820488,200821542,,0,620,Workhuman Business Model,"Thank you so much for coming to Spark Leadership today to walk through Workhuman's business model! Your presentation was dynamic and engaging, and our leaders learned so much.",2025-10-03
3581,7089735,28751796,203521297,200735536,11212896.0,0,620,Coaches of the Year,"Big shoutouts to these individuals who all gave me super valuable coaching sessions for our new talk tracks. Each person was able to give me a different perspective and helpful tips to improve how I can tell the story of how Workhuman helps organizations better than our competitors. Sometimes sessions like these can be intimidating, but you can tell they truly cared and wanted me to get better. After each coaching session, I know that I improved overall from their feedback, which will help me during the sales process and turn these coaching sessions into sales.....LETS GO! Thanks again, squad!",2025-10-02
3584,7089735,7986695,203518917,200735519,11212824.0,0,620,Share the Spark is Live!!!,"Thank you all for your work on making this very early morning thought become a reality. It was a few weeks before Workhuman Live Denver that I had this thought about a customer referral program. Before I knew it, it was being announced at the customer party at Live. Here we are on Oct 1, 2025 and it's become a reality. Thank you all for your work, your attention to detail, your focus and your reality checks as we massaged this large idea into a manageable program. I have a feeling it's going to grow in time, but for now, lets sit back, and watch the referrals come in.",2025-10-02
3957,5460545,23935667,202977924,200100457,11183651.0,0,620,Feedback in a Flash,"Thank you all for going outside the regular process this week to give quick, in the moment feedback and approvals for Unleash. We had an aggressive timeline to get things to print, and you all made the time to get us prompt and efficient feedback. Appreciate you!",2025-09-29
4450,5460545,12729482,202786642,199783303,11166069.0,0,620,Site Visit Superstars!,"Our few days in Orlando were jam packed, but you all came with your comfy sneakers ready to get at it.  We saw offsite venues, hotels and walked the convention center from end-to-end. Thank you for all of your effort, insights and teamwork. There are many moving parts, but this teams holds it all together.  Plus you're kinda fun. Workhuman Live 2026 is in full swing!",2025-09-24
4467,7089735,29239901,202679615,199776509,11157491.0,0,620,From Good to Great,"What a kickoff to Calibrate! After two weeks of leveling up from good to great, today was the payoff—and we couldn’t have done it without you. Your support helped the team truly master the message. Enablement sticks when you don’t just tell teams what to do—you show them how, and arm them with tools that make their work smoother. Thank you for your partnership and for helping us raise the bar on how we engage.",2025-09-24
6476,5460545,5248156,202014748,199021595,11115176.0,0,620,Presenting partners,"Just need to shout out what a stellar team this is!!! The process for creating our QMR presentation has become as seamless as our everyday work. From meeting altogether to align on what story we want to tell, to executing all the bits and pieces, this was a dream! Lisa, you made our slides fun and memorable and I can't thank you enough for doing the design lift so we could each focus on our individual talking points. Anne & Alana you both came to the table with such great content and it really helped us articulate the difference between creative success and business success when it comes to promoting WHLive. I know presenting is NOT either of your favorite, but it's clear that when you are the expert on the subject, you are both spectacular at it! I think my most valuable takeaway was going through all of our learnings just for ourselves – I mean, I hope it was useful to everyone else too – but it was a great exercise to just align within our own team on what really works and what doesnt! Cheers on what I think was the best QMR ever and a GREAT way to put the event team's best foot forward!",2025-09-17
6704,5460545,20193503,201787879,198853205,11098070.0,0,620,"Works Great, I know! ","Bravo, to this tremendously talented group! You might violate HR (and lead it at the same time) but your performance at our End of Summer Celebration event was killer. I thank you for taking the time to not only just perform the day of but truly appreciate your commitment to take all the time to rehearse and coordinate all the things that go along with it. Your manager should be proud! Cheers to the next gig. ",2025-09-15
6706,7089735,1826135,201813725,198853204,11099748.0,0,620,HP RFP Submission,"Thank you all for the quick turnaround on the AON/HP RFP response! Not only was this RFP unexpected, but we were given less than a 2-week turnaround to put together a response for HP's requirements, come up with new messaging, deep dive research into stats, etc. You all played a key roll in putting the final touches together. It does take a village and you all are the best villagers (sorry for bothering you on the weekend)! Michael",2025-09-15
7430,67028,67036,200966612,197985652,11062727.0,0,620,Excellence in Action,"As we wrap up Q3, I want to take a moment to celebrate a group of outstanding humans who have created incredible momentum across the business. This quarter you've shown what it means to have Respect for Quality - working across teams, delivering high-quality work, all while staying focused on what matters most: our mission to make work human. Your commitment to Inspire the HR Industry has shone through in the many accomplishments across the organization. As we head into the final quarter of the year, I’m filled with optimism about what we’ll continue to achieve together. Thank you for your hard work, your passion, and your commitment!",2025-09-09
7791,7089735,30173308,200714617,197845535,11044842.0,0,620,Project Simplify Dream Team,"I want to take a moment to thank you all for the work you’ve done to bring Project Simplify to life. It was no small undertaking, and the way you've approached it — with focus, creativity, and collaboration — has already set us up for meaningful impact. This project is a great example of what happens when smart people come together with a shared vision, and the power of collaboration across multiple functions. Thank you for the time, the intentionality, and the willingness to go ""in the weeds"" to bring this foundational body of work to life and activate on it in record time.",2025-09-06
7944,67028,4801363,200395911,197693240,,0,620,Sharepoint storage collaboration,"Conor, A few months ago, we began discussing SharePoint storage usage across the Finance team sites. You took the initiative to analyze the situation and consult with your teams, and about four weeks ago, you returned with a set of rigorous retention requirements and strict storage limits. Based on your recommendations, I implemented the following policies: Reduced version history from the default 50 versions to 10. Configured retention to keep only items from the past 90 days. Once these policies were in place, it took some time for older versions to age out. Now that the aging process has completed, the results have been remarkable: Storage usage dropped from over 7 TB to just over 1 TB. The previously largest site is now the 6th largest. These outcomes far exceeded my expectations. Thank you for your diligence and collaboration throughout this process. Your clear and decisive requirements made a significant impact.",2025-09-04
9341,67028,28576845,199549404,196592591,10943247.0,0,620,Celebrating Our Teamwork  – ITGC Review 2025,"As we wrap up the ITGC Review 2025, I want to sincerely thank each of you for your outstanding support throughout this process. Your guidance, the timely sharing of supporting documents, clarification of processes, and confirmation of our understanding and observations were all crucial to the success of this review. Your collaboration and commitment have been truly appreciated. I’m genuinely excited about the opportunity to continue working together and look forward to our future collaboration with great optimism.",2025-08-18
9502,67028,15809526,199339072,196485797,,0,620,Thank You,"Thanks Conor for completing the Digital Cert renewal for India. I know renewing this cert is not for the faint hearted, especially when it involves a number of external stakeholders in the process, plus different times zones etc.. The good news is you won't need to do it for 2 years :) Thanks again for your help on this. Much appreciated.  Enjoy the award.",2025-08-15
10707,7089735,28265674,198608772,195645302,10866373.0,0,620,GTM Summit,"Cam, Tiffany and Maggie - Thank you for all the work that went into organizing the GTM Leadership Team Zoom onsite. It was incredibly well executed — thoughtful, organized, and productive.  Your efforts helped create the right environment for meaningful discussion and learning, and the session really sets the stage for how we continue to support our leaders and managers in developing and honing their coaching skills.  Appreciate all the time, energy, and coordination it took to pull it together, as well as the last minute pivot from an in-person session to fully remote.",2025-08-01
12253,5460545,6657619,197260115,194317683,,0,620,paving the way,"Jill - I see you. I see all the time, attention, and effort you are putting in to welcome all the members of your expanded team. My first thought was you are 'building bridges', but that's not it because there was no big divide. You are paving the way. The way forward for a team that collaborates, shares the workload, the ideas, the creativity. You are building trust with transparency, team meetings, skip-levels, and active listening so you can learn and be the best leader for each person, and the team. It's a lot. Keep going!",2025-07-11
12567,67028,29251118,196192961,194039897,10652836.0,0,620,Minimum Commitment quality support,"I want to take this opportunity to sincerely thank you for your support with the Minimum Commitments. Your valuable feedback and insights have been instrumental in helping us keep track and manage customers effectively. I truly appreciate your collaboration and effort, and I look forward to continuing to work together.",2025-07-07
13421,7089735,29251118,196193004,193377621,10652836.0,0,620,Minimum Commitment quality support,"I want to take this opportunity to sincerely thank you for your support with the Minimum Commitments. Your valuable feedback and insights have been instrumental in helping us keep track and manage customers effectively. I truly appreciate your collaboration and effort, and I look forward to continuing to work together.",2025-06-27
13423,7089735,19066007,196154624,193377625,10649509.0,0,620,Workiva End User Engagement!,"A huge thanks to all our business process control owners and preparers for your engagement with the internal control testing and assurance programme through Workiva! We have come a long way from go-live; from learning how to navigate the tool, providing useful feedback on improvements/dashboard, to now fully engaging in the tool and allowing us to systemise our end to end control management & assurance program. This wouldn't be possible without your continued engagement in responding to quarterly assessments, process doc updates, evidence requests and issue remediation tasks! Looking forward to building on this for H2! Thank you!",2025-06-27
13668,67028,19066007,196154653,193267323,10649509.0,0,620,Workiva End User Engagement!,"A huge thanks to all our business process control owners and preparers for your engagement with the internal control testing and assurance programme through Workiva! We have come a long way from go-live; from learning how to navigate the tool, providing useful feedback on improvements/dashboard, to now fully engaging in the tool and allowing us to systemise our end to end control management & assurance program. This wouldn't be possible without your continued engagement in responding to quarterly assessments, process doc updates, evidence requests and issue remediation tasks! Looking forward to building on this for H2! Thank you!",2025-06-26
14290,7089735,27146600,195716844,192942833,10608727.0,0,620,You are a star,"Thank you for your enthusiastic and engaged participation in the service model workshop. Your energy, insights, and willingness to engage made the session a great running start for our work together.  Your contributions—whether through thoughtful questions, creative ideas, or collaborative discussions—played a vital role in shaping the outcomes of the workshop.   Thank you for your time, effort, and commitment we know it takes a lot to spend this kind of time in workshops!",2025-06-20
15252,7089735,7426820,195255900,192429634,10565297.0,0,620,Amazing Customer Focus for NPS workshops,"I wanted to take a moment to sincerely thank each and every one of you for your time, energy, and valuable input throughout the recent Net Promoter Score (NPS) workshops in Framingham. Whether you were able to attend one session, all six, or somewhere in between, your contribution made a real difference.  Across every workshop, what stood out was not just the quality of the ideas and actions, but the values and behaviours consistently demonstrated. There was a genuine, holistic care for the customer journey from beginning to end, exceptional cross-functional collaboration, and a clear passion for improving our customer experience. It was inspiring to see how willingly everyone shared knowledge, supported each other, and worked together with a common goal. Especially those who joined by zoom and also in late and early hours.   Your dedication, creativity, and commitment to follow through have set us on a strong path forward. Thank you again for making these sessions so impactful and for bringing such energy and care to this important work.    Looking forward to continuing this journey together",2025-06-12
15626,7089735,1826135,194984250,192199764,,0,620,Zurich Account Questions,Thank you Cam for tracking down the responses required for the Zurich NA submission. We needed some fine tuned responses and you came through with plenty of time to spare prior to the submission. Appreciate the support in getting things done!!  Michael,2025-06-09
16790,67028,14152772,194217967,191404211,10477141.0,0,620,2024 Audit Signed!,"Last week, we received the signed audit report for the 2024 year-end financials—a major milestone for the finance team. I want to sincerely thank each of you for your contributions in achieving this. Supporting the year-end audit is no small feat. It involves a tremendous amount of work—from preparing initial listings, schedules, and balance sheet reconciliations to handling countless sample requests and addressing follow-up queries. At times, the requests felt endless! Throughout the process, your commitment to both quality and timeliness was clear. EY were very complementary on the collaboration between the two teams, which is a reflection of your professionalism and dedication. It’s a great achievement to have this completed and behind us for another year. Thank you all once again for your hard work. Excellent job and well done!",2025-05-27
17394,7089735,28528185,193832719,191024246,10448505.0,0,620,Hospitality at its finest!,"Last week, this team here demonstrated what it truly means to lead with hospitality, care, and professionalism — and it did not go unnoticed!  A key prospect of mine at Blue Origin reached out to express her heartfelt thanks for the extraordinary support, coordination, and human connections she and her team experienced during their time with us. From seamless logistics and thoughtful planning to deep technical engagement and powerful product demos, each interaction made them feel welcomed, heard, and confident in our partnership. The little things — from helping them find a hotel room to making sure they were introduced to the right people — made a big impact!  This kind of experience isn’t just good customer service — it’s strategic partnership-building. The trust, clarity, and enthusiasm we created together are helping to accelerate meaningful conversations and propel the deal forward in a big way.  To everyone involved: a sincere THANK YOU for showing up with heart, hospitality, and hustle. You're not just representing Workhuman — you're embodying it. 👏",2025-05-21
17836,5460545,21740703,193568241,190727322,10423996.0,0,620,Raising the bar (again),"Jill and Richard,  While it truly takes a village to deliver an exceptional WHL experience, that village requires impassioned, dedicated, and motivating leadership. You designed a thoughtful and highly engaging program, built a front-to-back experience centered on all participants, orchestrated every last detail to its full execution, and addressed every unforeseen obstacle with poise, professionalism, and speed. Leading from the front doesn’t begin to describe the truly exceptional job you both did to inspire your teams to do their best work…which they all did supremely well. I could not be more proud of what (and how) you two delivered for the Workhuman brand. Truly remarkable planning, execution, and exemplar leadership. ",2025-05-16
18008,7089735,5460545,193563550,190689675,10423579.0,0,620,Heart & Hustle,"To everyone who traveled to Denver and rolled up their sleeves to support our flagship event—thank you.  There are dozens of jobs, big and small, that need to come together to make an event like this work—and you did them all. From demo delivering to activation staffing, room management to speaker wrangling, customer hosting to Gratitude Bar support—every task you took on was vital to the experience we delivered.  Your energy, flexibility, and willingness to step in wherever needed didn’t go unnoticed. This event’s success was built on your hard work, and we are deeply grateful for everything you gave—your time, your effort, your talent, and your care.  Thank you for showing up, again and again. You made this event possible.",2025-05-15
18018,5460545,15719052,193558188,190689587,10423095.0,0,620,An Extraordinary WHL,"What you pulled off at Workhuman Live was nothing short of extraordinary. Every single detail—from the technology that powered the experience, to the stunning creative that framed our brand and our executives—was executed with precision, care, and excellence.  You created an environment that didn’t just look exceptional, but felt like Workhuman. The logistics, the operations, the room blocks, the speaker briefings, the attendee journeys—you orchestrated every piece with a level of rigor and creativity that made the impossible look effortless.  From the first pre-promotion touchpoint to the moment attendees walked into the space, to the content creation, the live on-site execution, the speaker curation and delivery, to the last-minute signage changes and the seamless video production—you owned it all. And you did it while managing thousands of humans moving through a complex environment, aligning every detail to our theme, our purpose, and our mission.  You brought Eric’s keynote to life with vision and thoughtfulness. You made sure our content tracks were cohesive, our speakers prepared and impactful, and our message loud and clear across every stage, room, and moment.  This was more than a flawless event. This was a defining moment of brand leadership—something only Workhuman could do, because of you.  I’m phenomenally proud of this team. Let’s carry this momentum into Orlando 2026. I already can’t wait.  —Richardtemp",2025-05-15
20980,5460545,1577886,191713004,188901052,10276341.0,0,620,The Most PERFECT Conference Badge -- EVER,"It's been 10 years in the making...we've laughed, we've cried, we've fought, I've pouted, but we've finally done it! The new badges for Workhuman Live 2025 are great. It is the perfect font, font size, boldness, background, color contrast for the first name and the company name. The badge colors and people icons add the right amount of attendee information to help us prioritize are interactions at the event. Thank you for taking the time to listen to our needs and to make it happen for this year's event. It will make a world of difference for us all at the event!",2025-04-22
21435,7089735,16668169,191550623,188718801,10263012.0,0,620,"Op Excellence, AI mustaches and twins for the win","Team! It was so great to spend some with all of you over the past week to start ironing out some parameters around what it means to be ""most excellent"" operationally across a handful of lanes. I thought our discussions were productive, action oriented, honest, and thought provoking. I enjoyed talking about short term, low cost options we could charge against, while balancing a longer term view of what excellent can look like, and what would need to happen to get there. It was also a treat to meet Mark's less Irish sounding twin... he seems cool, but I still think I like the real Mark better. Lastly, a special shout out for Hillary for raising her hand as captain and harnessing her ppt skills ;-)",2025-04-17
21443,67028,16668169,191550627,188714958,10263012.0,0,620,"Op Excellence, AI mustaches and twins for the win","Team! It was so great to spend some with all of you over the past week to start ironing out some parameters around what it means to be ""most excellent"" operationally across a handful of lanes. I thought our discussions were productive, action oriented, honest, and thought provoking. I enjoyed talking about short term, low cost options we could charge against, while balancing a longer term view of what excellent can look like, and what would need to happen to get there. It was also a treat to meet Mark's less Irish sounding twin... he seems cool, but I still think I like the real Mark better. Lastly, a special shout out for Hillary for raising her hand as captain and harnessing her ppt skills ;-)",2025-04-17
21593,5460545,27239089,191472288,188623731,10256415.0,0,620,Team Goodness,"What a team! Big ups to my partners in crime at the ELT ""onsite."" Everyone brought creative ideas and innovative contributions to our project. Most importantly, we learned about one another, made strong connections, and elevated our collective games. Well done!",2025-04-16
21932,7569574,17272134,191287669,188447178,10240905.0,0,620,Cheers to You For Cognizant's Annual Review!,"Thank you all for your incredible work on the Cognizant annual review.  The amount of preparation and thought that went into this meeting was evident—and I deeply appreciate the time and care you each took to ensure we were ready to navigate a complex conversation. From addressing Cognizant’s cultural challenges to showcasing how our AI methodology and recognition data can provide both strategic insights and cultural impact, you told a compelling story.  It was an intense discussion, but your ability to adapt in real time and respond to tough questions with confidence and clarity truly stood out. I believe the Cognizant team felt heard, and we surfaced actionable insights that will guide our partnership moving forward.  I’m incredibly grateful to have such a sharp, committed team in my corner—one that not only solves problems but reframes them as opportunities. Thank you for everything!",2025-04-14
22736,7089735,29239902,190492636,187986765,,0,620,Pricing Guru!,"Cam - As always, thank you for being an incredible asset to everyone in sales. On one day's notice, you graciously accepted our Corporate Team meeting to discuss pricing talk tracks and specific pricing scenarios. Your insights were incredibly helpful, and your expertise really makes a difference on how we continue to position our offerings. We are always appreciative and grateful for your support!",2025-04-08
23798,67028,28275365,190251713,187476311,10150522.0,0,620,Master Data Aligned!,"Dear Team, I wanted to take a moment to express my sincere gratitude to all the stakeholders involved in the Master Data project, particularly in aligning cost centers, departments, functions, and supervisory organizations. It’s hard to believe that for so many years, the business struggled to align these critical components across Workday, Epicor, Concur, and Spark.  Your hard work, collaboration, and unwavering dedication have been instrumental in achieving this significant milestone. Each of you has played a vital role in aligning our systems, and this foundational piece stands as a testament to your collective efforts.  Today, we have successfully aligned all systems—Workday, Epicor, Concur, and Spark—along with measures built within Workday to maintain the integrity of the structure. Additionally, a RACI is now in place, ensuring clear roles and responsibilities across the board.  This is a crucial foundation that will pave the way for future projects, such as the Workday-Payroll integration and security restructuring. None of this would have been possible without your leadership, commitment, and collaborative spirit. Thank you!",2025-03-31
24290,7089735,21864553,189878905,187167897,10118364.0,0,620,Expert Interviews - Everest Group Research,"Thank you so much to this group for your time, preparation, and insight offering during the SME interviews for our research partnership with Everest Group! The Everest Group analysts asked questions that interrogated why our approach to strategic recognition is the best: how we support customers in their success, how recognition is done right (and wrong), and how we teach the market to expect more from their recognition programs.  Your responses reflected the years of dedicated work you have all put into making work more human-- the contributions you made in these interviews will help the Everest Group create a research paper that details why recognition is a strategic imperative-- and specifically, why Workhuman's approach reflects recognition done right.  I'm so appreciative of your support for this Analyst Relations project! I'm looking forward to keeping this group updated on progress and sharing the final paper later this Spring. Thank you!",2025-03-27
24446,5460545,20879843,189903848,187080068,10119735.0,0,620,"""How can I help?""","A shout out to this team who always happy to help. The days leading up to an event are always stressful, but each person here checked in to see what you could help with, whether it was helping move 70 pound crates, finding a pair of scissors, helping manage the 500 person queue, or even just keeping us hydrated. You all make sure no one is ever left behind. I appreciate you all!",2025-03-26
24545,5460545,9568354,189787753,186984349,10111677.0,0,620,From London to Paris,"When it comes to a site visit with the events team there's two things I know for sure, it's going to be super busy + productive, but it's also going to be a lot of fun! At the beginning of the week, this group masterfully managed so many aspects of WHL Forum London, to immediately switch gears and start planning for Paris! It was so impactful to see the space and to hear the strategic ideas and questions that will no doubt make for another thoughtful and memorable event! Thank you for a great week and lots of laughs along the way!",2025-03-25
24708,5460545,11942225,188851785,186868475,,0,620,Events Leadership,"Before I submitted this award i googled (for fun) ""what is a good manager"". I found an article that said ""Great leaders tap into the needs and fears we all share. Great managers, by contrast, perform their magic by discovering, developing, and celebrating what’s different about each person who works for them""  As i was reflecting on my quickly-approaching maternity leave I realized a lot of those typical insecurities women tend to face as they approach big life changes, are not things I have to worry about because I have a supportive boss.  As a team we often talk about how you are the best, but today I was reminded that I should also be telling you.   I appreciate having a female leader that not only understands life changes, but supports them. That not only understands our work and what we put into it, but also supports the development and decisions behind them. I most of all appreciate the trust,  transparency, and many laughs. The events team is lucky to have you!",2025-03-24
24715,7089735,27778928,189100767,186868807,,0,620,"""Let me help you with that stick...""","Cam, It was great seeing and meeting with you in person this week. You are always ready to jump in and support me. This quality you have is immensely appreciated. I know that I can darn near bring anything to you - in or out of your realm - and you will lend a hand. The advocacy you provide to CI is invaluable. Thank you. Sam",2025-03-24
24720,5460545,5248156,188844390,186868474,,0,620,Tireless leadership,"OK, maybe that title is a lie, it'd be totally ok if you were actually tired – and maybe even tired of leadership – but you make it LOOK tireless. There have been so many moving parts happening since the start of the year from adopting a new function to the endless stream of Q1 events and launches and I just wanted to call out how much I appreciate you and your mentorship. You look out for the team and each person's individual goals, you're trying to balance the budget and planning for team growth and our always top-notch production events, and yet you're still taking on new things like championing Asana and making sure to spend quality time on all our Reflections. It doesn't go unnoticed or unappreciated – it is a lot of work. This week is the last deep breath before Forum and the landslide toward Live in Denver – I hope you go into it all feeling as great as we all think you are!!",2025-03-24
25581,67028,7495016,189131835,186329256,10055366.0,0,620,Just a moment,"I’d like to take a moment to express my belated gratitude for your hard work during this busy period, particularly while handling numerous audit requests alongside the transition to the new banking transfer system. Thanks to your help, advice, and dedication, we’ve been able to deliver exceptional service to our Irish, EU, and worldwide suppliers without any delays. This is a true reflection of our collaboration and professionalism. Please find a minute to celebrate this achievement on our Work Appreciation Day!",2025-03-14
28242,7089735,29239902,187157906,184626537,9931079.0,0,620,Best of the Best!,"On behalf of my fellow leaders and I, we just wanted to take a moment to say THANK YOU for spending yet another hour of your busy day with us (right after Level Up office hours, no less!). Your help in walking us through pricing and specific scenarios was incredibly valuable to us ""newbies."" We truly appreciate the time, knowledge, and insight you both shared — especially considering how many directions you’re pulled in daily.  Having such knowledgeable and supportive team members like you makes all the difference, and we’re grateful to have you both as such incredible resources.",2025-02-28
28794,5460545,24310379,186783155,184189976,9908452.0,0,620,Human Intelligence Core Collaborators,"As we make the final approach to the Human Intelligence 2025 Release digital event, I want to send a massive THANK YOU to this core group of collaborators that I've had the pleasure of working closely with over the last 4 months.  It's fitting that the animation above says ""Good things come to those who don't wait,"" because when we were tasked with organizing this campaign and event back in late October, this group wasted little time in strategizing how to deliver Workhuman's most impactful innovation release against some serious time constraints.  The results speak for themselves. We've already reached over 8,000 registrations that include almost 100% customer coverage, and we can all agree that the messaging, copy, and creative that has been delivered through this project has been next-level.  Personally and professionally, I can't thank you all enough for this experience. I've learned so much from each of your different expertise and through how you each approach cross-functional collaboration on this scale. What I'm most impressed by is the consistent positive attitude and collaborative mindset. This was a big undertaking that required a lot of strategic and execution-focused work, but we were so productive because we kept the focus on progress.  Can't wait for the next one...lol",2025-02-25
29391,7089735,9484235,186601822,183818308,,0,620,CERTIFIED!,"Cam - Thank you for volunteering to be the first to go through our certification process for SELT. It's never easy being first, but you eagerly stepped up to the challenge. You wanted to make sure you understood what it took to prep for and to pass this before we asked anyone else in the field to take on the same challenge. That's part of what makes you such a good leader. You were open to feedback that allowed us to tailor our approach and to make sure it's as clear as it can be. We appreciate you paving the way. - Brittany, Tiffany, Mary Jo & Maggie",2025-02-20
